,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2552,7363029127,238345847,100630,"NIVEA Face Cleanser MicellAIR Extra White Micellar Water, Whitening Face Cleanser, 125ml",125ML X 1,0,11800000,11800000,0,,NIVEA,44,80,,76,0,2,0,2,80,4.85,454,172,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['31c48f0922e460b84377f0ca2a0aaf08', '0845b0223fecae0009891cc557ec42c2', '4ac49f251095e51083307fe65a278b3d']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2553,6849189123,238345847,100631,Pedigree Mini Beef Lamb and  Vegetable Dry Dog Food 2.7kg,2.7KG X 1,0,56700000,56700000,0,,Pedigree,47,112,,101,7,1,1,2,112,4.821428571428571,11,301,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['c710375032f177593ee19a5a19acd4b5', '70beb7b46723ef5fda7b0139adb61dc4', 'ae9b4c4dfaedd7dbb562b5138330fab5', 'd57352c1d14f6d318be14a0d97022c0a', '19f8832c61dcba3a231bef7842be0427']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2554,4142118118,238345847,100630,Tresemme Keratin Smooth KERA10 Shampoo 330ml,330ML X 1,32500000,30700000,30700000,6,6%,Tresemmé,74,149,,131,7,4,2,5,149,4.724832214765101,9,299,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['0ae5a20999444678523b610ca1351522', '46de8c81e408a6e8d37d444c4621ca54', '94e64d47b2334f3a721c87b466120847', 'b1de24a34556b81792c709681b461e47', '8be420b6de09be28a6c8665117efa18d', '707c4ebde7daf35a58ef132876c6b97d', '302ae5765a689085f0b2de47f98bb0d0', '5a093fcbec851aa2a25bd2176861472a', '9cad8f2b80442f6a47d7c1105cedbcd0']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2555,10411360132,238345847,100629,Majestic Dalgona Coffee 70g,70G/GR X 1,0,1900000,1900000,0,,,46,136,,126,4,4,0,2,136,4.852941176470588,133,483,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['84f6d8b7ca13e6888466f0a942396e45', 'aef16bd95d42f2e1911b35b7624569b7', '0caeaf2d0023d797b4f2d5f9ad27f026', 'f53626e79f8b701bfed57792251b4766']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2556,6541195684,238345847,100630,Herbal Essences Bio:Renew Volumizing Strawberry and  Sweet Mint Conditioner 400ml,400ML X 1,0,39900000,39900000,0,,Herbal Essences,87,46,,42,3,1,0,0,46,4.891304347826087,5,113,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['adf3aaf54de45e263765c0b673976d4a', 'eb0c284174ecad17e01937b266e149fc', '9e9ca4397fcdbcbd8d869c494eaffe80', '7ff28ccd14f8225b1eeb475de7f5799b', '9bf667afd5d5fb9dda05b1d199988452', '181429ca7a43d67c7100283551a92994']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2557,7770767212,238345847,100629,Orion Custard Milk Cream 6 Pieces,6Piece X 1,0,8400000,8400000,0,,Orion,49,94,,84,2,1,1,6,94,4.670212765957447,16,216,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['bb97ef526a6ca8ed34f655d49e75cf28', 'b7820498f19f6952b20071860ae8e66b', '67c877f6cd48b8d0a9fa0f63457b0b7d']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2558,9169456259,238345847,100636,Bouncy Bathroom Tissue 3 Ply 200 Pulls - 12 Rolls,12Piece X 1,0,25000000,25000000,0,,,13,69,,67,2,0,0,0,69,4.971014492753623,23,172,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['95d52479fcaddf7921f1d8472172ef94', '1feb54ab9b6c6e2369aff4495c78d9cd', '4390b87763ce66ff60dc2eca2f2a63f4']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2559,9014979124,238345847,100001,Family Alcohol 40% 180mL,180ML X 1,0,2800000,2800000,0,,,28,56,,53,1,1,0,1,56,4.875,69,334,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['f087573b94503bcd385a0478a2833a28', '9ac720c44663746aed5c71c1aaa23d27', 'f64390c535d40a74bcbd925f1d12ea94']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2560,5779208721,238345847,100629,Nissin Mini Cup Noodles Beef 40g,40G/GR X 1,0,2100000,2100000,0,,,15,107,,100,4,1,1,1,107,4.878504672897196,49,528,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['e9fa6b86f0ae41168ca206cec7203301', 'ab0b65437669584e097285f1dd46c6be', '70aa2133d1b79639d1f9c87303e51a40']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2561,8614990088,238345847,100632,Happy Diaper Xl 48 + 6pieces,54Piece X 1,0,37100000,37100000,0,,HAPPY,26,193,,186,2,1,1,3,193,4.901554404145077,21,450,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['c80d9e1d2b7af70a04d3a6468940d286', '99c6b235d1abc0c5f72775b0e4c92332', 'c967ffd46c43386a755e3161c2eb15a3', 'c9013c7be20273fadb31f99df9ecc5d8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
