date,itemid,date_collected,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2023-10-01 07:53:00,4791987820,10012023-0753,238345847,100629,Lotus Biscoff Original 125g,125G/GR X 1,0,11900000,11900000,0,,,169,139,,127,3,7,1,1,139,4.827338129496403,48,505,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['4a008071f090154d5d9338d6b56f96a9', '10c7539cb26cdd7a35ace487db6d98ce', 'cb7e87da566b8c2de1dc40d992ea795c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,5079529606,10012023-0753,238345847,100629,Marca Piña Soy Sauce 385ml,385ML X 1,0,2400000,2400000,0,,,36,211,,202,4,3,0,2,211,4.933333333333334,121,575,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['cddb1a0309b86be998a6f2a0a6afaca4', '0790f501c584a0272ff58a08db7a7c1f', '020c45fa73b230246accf0f3ab85713b']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,6630135080,10012023-0753,238345847,100630,Olay Skin Total Effects 7-in-One Day Cream Normal 12g,12G/GR X 1,0,19900000,19900000,0,,Olay,302,421,,380,21,8,5,7,421,4.819047619047619,35,1071,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['ph-11134207-7qul0-lgoittnl5mue9f', 'ph-11134207-23010-tmj6m189inmv79', '305d8a46bd5468ff34e10c5ee4150a83', '26ddde6ef615dab5c988c93172d6d473', '819c5e2a1e5a5368c3796c6d37fff525']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,7264078840,10012023-0753,238345847,100636,Glade Air Freshener Automatic Refill Elegant Blossom & Oud,175G/GR X 1,0,30200000,30200000,0,,Glade,116,222,,209,6,2,0,5,222,4.864864864864865,67,831,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['e0a22304c1d7d191c284343c772e13c9', 'f313ae6aab28e87399e6c204a15d7598', '84665a5339d74919e9c99e9e8f461b4f', '8b120ba43d9c0b9f17815078062f6fca']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,4325341989,10012023-0753,238345847,100630,Belo Essentials AcnePro Pimple-fighting Bar 65g,65G/GR X 1,0,11000000,11000000,0,,Belo,325,412,,389,12,7,0,4,412,4.898058252427185,57,1066,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['2c5c90212c92d3b31ae7635962155d10', '2a6e6d333b0dfbc18da34c00e0e66def', '880f7e7d58c5948b2241f76758658109']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,18628675769,10012023-0753,238345847,100631,Pedigree Puppy Beef and Milk 400g,400G/GR X 1,0,10800000,10800000,0,,,45,191,,172,13,4,1,1,191,4.853403141361256,24,570,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['72040aa577e5476c14c5a9ec488b0331', 'b03c3869978690455a184613cb495504', '2db534fb47dd488f5071cea8b7bb4285', '7bd6230450bd31da6667d53520985e02']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,3363885473,10012023-0753,238345847,100632,EQ Dry Baby Diaper Jumbo Pack Large 48's,48Piece X 1,0,50200000,50200000,0,,,41,325,,303,11,6,3,2,325,4.885802469135802,68,838,1,False,"Cabuyao, Laguna",False,False,False,False,True,False,False,"['1881e9c4d04b4771f5760696b5b42f40', '43680c2834db208428d80841518008af', '5bbdcb437009d93a3f58fe41f5d2be97']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,5633490958,10012023-0753,238345847,100629,Clara Olé Mango Jam - 320g,320G/GR X 1,0,12300000,12300000,0,,Clara Olé,256,385,,375,4,3,0,3,385,4.942857142857143,27,912,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['4b107f1bf4efbd9ac380c78622ebea9b', '56881336cc8e054572a0a31b89bc72d0', 'e0fa9c18f8a22ebd1effcc8a4db3ef88']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,5442114631,10012023-0753,238345847,100630,Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Color Revive 150ml,150ML X 1,24200000,22100000,22100000,9,9%,Cream Silk,65,177,,170,7,0,0,0,177,4.96045197740113,21,381,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['fcd9217ca1c2bbc9eaa46ebc4464d378', '3cea5554cd5f682084bfa3b5f553d4f5', '202545232515c81512430a933697e40a', 'e6e051883dd07e524dc80e2b75cccf55']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,6750205374,10012023-0753,238345847,100636,Mr. Muscle All Purpose Cleaner 1L Wild Lavender,1L X 1,0,16300000,16300000,0,,Mr. Muscle,144,301,,287,4,5,0,5,301,4.887043189368771,1,737,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['c786ecac569eac883f2e26f254d214fe', 'ef035b657db22b4d0d94240e7588afb4', 'ddee2598ef60c38d8ade44cb6e5aad97']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,8915953976,10012023-0753,238345847,100629,Marca Piña Cane Vinegar 3785mL,3.79L X 1,0,15800000,15800000,0,,Marca Pina,50,151,,139,1,1,1,9,151,4.816326530612245,40,386,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['d972872adcd9eaa0fe7a5f5cd50b6409', '8dfc136050ec95519edbccf81819e969', '017e3b899afd2e7e74effcfe21138995']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,17093400403,10012023-0753,238345847,100001,Bundle of 6 Caress Basic Adult Diaper Medium 1's,1Piece X 1,0,12600000,12600000,0,,,21,89,,80,5,2,1,1,89,4.820224719101123,359,246,1,False,"Cabuyao, Laguna",False,False,False,False,True,False,False,"['ph-11134207-23030-f7b26bgfsfovbd', 'ph-11134207-23030-dsq2vbgfsfovc4', 'ph-11134207-23030-nsq2vbgfsfovf0']","[{'name': 'Bundle', 'options': ['Bundle of 6'], 'images': None, 'properties': [], 'type': 0}]"
